item,recommendation
ที่ยกน้ำหนัก (Dumbell),"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'หมอนสุขภาพสำหรับคนนอนไม่หลับ', 'หมอนข้าง', 'มะม่วงเบา', 'ต้นไม้ประดับห้อง', 'จักรยานเสือภูเขา', 'คอลลาเจน', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์']"
น้องหมา,['ชุดน้องหมา']
น้ำส้มดีโด้,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'หมอนข้าง', 'คอลลาเจน', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Board game']"
มะม่วงเบา,"['เม็ดมะม่วงหิมพานต์', 'ที่ยกน้ำหนัก (Dumbell)']"
หมอนข้าง,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'น้ำส้มดีโด้', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego', 'Board game']"
หมอนสุขภาพสำหรับคนนอนไม่หลับ,"['เม็ดมะม่วงหิมพานต์', 'ที่ยกน้ำหนัก (Dumbell)']"
หลอดไฟเปลี่ยนสีได้,['ไฟอัจฉริยะ']
ห้องน้ำแมวอัตโนมัติ,['อาหารแมวคลีนเพื่อสุขภาพลดหุ่น']
อาหารแมวคลีนเพื่อสุขภาพลดหุ่น,"['เครื่องย่อยเศษอาหาร', 'ห้องน้ำแมวอัตโนมัติ']"
เครื่องดูดฝุ่นอัตโนมัติ (robot),"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'หมอนข้าง', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'กะหรี่(ปั๊บ)', 'Lego']"
เครื่องย่อยเศษอาหาร,['อาหารแมวคลีนเพื่อสุขภาพลดหุ่น']
เนื้อย่าง,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'หมอนข้าง', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'กะหรี่(ปั๊บ)', 'กรรไกรตัดขนจมูก', 'Software ถูกลิขสิทธิ์', 'Lego']"
เนื้อวากิล,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อย่าง', 'หมอนข้าง', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego']"
เม็ดมะม่วงหิมพานต์,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'หมอนสุขภาพสำหรับคนนอนไม่หลับ', 'หมอนข้าง', 'มะม่วงเบา', 'น้ำส้มดีโด้', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'คอลลาเจน', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego', 'Board game']"
เสื้อซีทรู,['ชุดนอนไม่ได้นอน']
แผ่นเสียง,['กัญชง']
แฟน ที่แปลว่าพัดลม,"['โรตี', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'หมอนข้าง', 'น้ำส้มดีโด้', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego', 'Board game']"
แม่โขง,['แสงโสม']
แสงโสม,['แม่โขง']
โรตี,"['แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'หมอนข้าง', 'น้ำส้มดีโด้', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'คอลลาเจน', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego', 'Board game']"
ไฟอัจฉริยะ,['หลอดไฟเปลี่ยนสีได้']
